publisher	Nombre	Votos	Promedio
publisher	(Public Domain)	12	7.083333333333333
publisher	(Public Domain)	14	7.142857142857143
publisher	(Public Domain)	8	6.75
publisher	(Public Domain)	8	6.75
publisher	(Self-published)	10	7
publisher	(Self-published)	14	7
publisher	(Self-published)	16	7.1875
publisher	(Self-published)	9	6.777777777777778
publisher	(Unknown)	15	5.6
publisher	(Unknown)	15	5.6
publisher	(Unknown)	21	6
publisher	(Unknown)	23	6.130434782608695
publisher	(Unknown)	3	7
publisher	(Unknown)	3	7
publisher	(Web published)	6	6.5
publisher	(Web published)	6	6.5
publisher	(Web published)	8	6.5
publisher	(Web published)	9	6.777777777777778
publisher	2F-Spiele	6	5.833333333333333
publisher	2F-Spiele	6	5.833333333333333
publisher	2F-Spiele	6	5.833333333333333
publisher	2F-Spiele	9	5.888888888888889
publisher	3M	4	7.75
publisher	3M	4	7.75
publisher	3M	6	8
publisher	3M	7	8
publisher	999 Games	118	7.228813559322034
publisher	999 Games	122	7.262295081967213
publisher	999 Games	140	7.2214285714285715
publisher	999 Games	162	7.191358024691358
publisher	999 Games	20	7.6
publisher	999 Games	25	7.68
publisher	999 Games	5	8
publisher	999 Games	5	8
publisher	ABACUSSPIELE	18	6.055555555555555
publisher	ABACUSSPIELE	18	6.055555555555555
publisher	ABACUSSPIELE	18	6.055555555555555
publisher	ABACUSSPIELE	21	6.095238095238095
publisher	ABACUSSPIELE	3	9
publisher	ABACUSSPIELE	3	9
publisher	ABACUSSPIELE	3	9
publisher	ADC Blackfire Entertainment	3	7.333333333333333
publisher	ADC Blackfire Entertainment	3	7.333333333333333
publisher	ADC Blackfire Entertainment	42	6.595238095238095
publisher	ADC Blackfire Entertainment	43	6.627906976744186
publisher	ADC Blackfire Entertainment	56	6.767857142857143
publisher	ADC Blackfire Entertainment	62	6.919354838709677
publisher	ADC Blackfire Entertainment	7	7.714285714285714
publisher	ADC Blackfire Entertainment	9	7.777777777777778
publisher	AMIGO Spiel + Freizeit GmbH	17	6.352941176470588
publisher	AMIGO Spiel + Freizeit GmbH	17	6.352941176470588
publisher	AMIGO Spiel + Freizeit GmbH	22	6.545454545454546
publisher	AMIGO Spiel + Freizeit GmbH	25	6.52
publisher	AMIGO Spiel + Freizeit GmbH	3	7.333333333333333
publisher	AMIGO Spiel + Freizeit GmbH	3	7.333333333333333
publisher	ASS Altenburger Spielkarten	6	5.5
publisher	ASS Altenburger Spielkarten	6	5.5
publisher	ASS Altenburger Spielkarten	7	5.714285714285714
publisher	ASS Altenburger Spielkarten	9	6
publisher	Adams Brothers & Shardlow Ltd.	3	7.666666666666667
publisher	Adlung-Spiele	3	6.666666666666667
publisher	Adlung-Spiele	3	6.666666666666667
publisher	Adlung-Spiele	3	6.666666666666667
publisher	Air France	3	7.666666666666667
publisher	Albi	13	8
publisher	Albi	18	8
publisher	Albi	5	8
publisher	Albi	6	8.166666666666666
publisher	Albi	61	7.311475409836065
publisher	Albi	63	7.349206349206349
publisher	Albi	73	7.287671232876712
publisher	Albi	87	7.195402298850575
publisher	Alderac Entertainment Group	11	6.7272727272727275
publisher	Alderac Entertainment Group	11	6.7272727272727275
publisher	Alderac Entertainment Group	15	7
publisher	Alderac Entertainment Group	18	7.055555555555555
publisher	Alderac Entertainment Group	4	7.75
publisher	Alderac Entertainment Group	4	7.75
publisher	Alga (Brio)	10	5.2
publisher	Alga (Brio)	11	5.363636363636363
publisher	Alga (Brio)	7	4.714285714285714
publisher	Alga (Brio)	7	4.714285714285714
publisher	Allied Van Lines	3	7.666666666666667
publisher	Ammonit Spiele	3	9.666666666666666
publisher	Arclight	17	8.117647058823529
publisher	Arclight	18	8.055555555555555
publisher	Arclight	3	7.333333333333333
publisher	Arclight	4	7.75
publisher	Arclight	49	7
publisher	Arclight	50	7.02
publisher	Arclight	68	7.161764705882353
publisher	Arclight	72	7.138888888888889
publisher	Ares Games	3	6.666666666666667
publisher	Ares Games	3	6.666666666666667
publisher	Ares Games	3	6.666666666666667
publisher	Argentum Verlag	3	7.333333333333333
publisher	Argentum Verlag	3	7.333333333333333
publisher	Argentum Verlag	3	7.333333333333333
publisher	Argentum Verlag	3	7.333333333333333
publisher	Asmadi Games	3	6
publisher	Asmadi Games	3	6
publisher	Asmodee	3	7.666666666666667
publisher	Asmodee	50	6.56
publisher	Asmodee	51	6.588235294117647
publisher	Asmodee	69	6.884057971014493
publisher	Asmodee	7	7.857142857142857
publisher	Asmodee	7	7.857142857142857
publisher	Asmodee	85	7.094117647058823
publisher	Asterion Press	3	9
publisher	Asterion Press	3	9
publisher	Asterion Press	36	7.194444444444445
publisher	Asterion Press	39	7.3076923076923075
publisher	Asterion Press	63	7.428571428571429
publisher	Asterion Press	73	7.575342465753424
publisher	Astrel Games	10	7.7
publisher	Astrel Games	8	8.125
publisher	Astrel Games	8	8.125
publisher	Astrel Games	9	8
publisher	Atlas Games	3	7.666666666666667
publisher	Atlas Games	3	7.666666666666667
publisher	Atlas Games	4	7.5
publisher	Atlas Games	4	7.5
publisher	Atlas Games	4	7.5
publisher	Atlas Games	5	7.8
publisher	Avalon Hill	3	7.666666666666667
publisher	Avalon Hill	3	7.666666666666667
publisher	Avalon Hill	5	8.2
publisher	Avalon Hill	5	8.2
publisher	Avalon Hill (Hasbro)	3	7.333333333333333
publisher	Avalon Hill (Hasbro)	3	7.333333333333333
publisher	Avalon Hill (Hasbro)	7	7.571428571428571
publisher	Avalon Hill (Hasbro)	9	7.666666666666667
publisher	Axel	4	7.5
