user	Nombre	Unidades	Votos	Promedio
user	Charlodes	20	18	7.5
user	Earnur	25	20	8.35
user	GnzLh	34	21	6.809523809523809
user	Kassapa	24	18	8.222222222222221
user	MilenioOscuro	14	0	-
user	Monk74	36	82	7.280487804878049
user	Nordico	0	0	-
user	SebasKO	38	33	7.878787878787879
user	ToshiroBudini	101	102	7.598039215686274
user	agonar	29	49	7.122448979591836
user	barbazul	20	19	7
user	flomincucci	31	0	-
user	frater82	14	20	6.9
user	saaruman	92	164	6.896341463414634
user	seppo0010	28	150	5.5
user	toote	22	15	7.2
user	xapi	16	17	7.764705882352941
